grid_id,target_temp,bldg_area_sqm,road_length_m
537,47506.0,2337.2181451772594,549.9880301093056
538,47875.0,254.3628963306025,154.6748609880219
539,47703.0,2316.845487133486,100.44215603688609
540,47018.0,5.453355810761195,493.2041861464774
541,46788.0,0.0,146.78921870707728
542,46692.0,722.5462850484655,0.0
543,47226.0,0.0,0.0
544,48071.0,1464.2521107628756,2.9342023033660922
545,47920.0,415.55623875721125,533.2377533973346
546,47174.0,3813.7795485892707,696.4701688844424
547,46583.0,455.445318128471,1070.5497315437995
548,46615.0,573.0258136128421,154.29918922238397
549,47151.0,1972.496122888107,289.4324013461428
550,46868.0,655.8617210369661,664.8776237073602
551,46312.0,88.31009645012469,942.8843944096286
552,45986.0,0.0,236.56087871513066
553,46093.0,0.0,401.83415575351927
554,46265.0,1116.2402326223664,668.7746120134303
555,46589.0,1326.7654636843945,409.6919010893225
556,46904.0,1983.9614936471605,454.51798018294113
557,47080.0,1480.6487905025667,1208.393484547181
558,47590.0,4977.254850144472,476.5626091653035
559,47726.0,2622.525852792797,328.18290898675826
560,47780.0,3027.360481418032,703.8949927087511
561,47385.0,2233.498655126137,769.5886620734082
562,47385.0,2601.0251774554467,745.8635063442506
563,47349.0,2514.1837881613915,756.6721602951043
564,47075.0,3944.8372919683466,388.58031307109525
565,47158.0,3091.882750934539,823.3607867457973
566,47516.0,3967.528648868241,853.8751814622613
567,47945.0,3143.488475208834,1086.4483265082072
568,48009.0,3520.999911734986,660.2532449379606
569,47902.0,646.2805346652644,622.5559047295433
570,47829.0,1197.2981900432583,561.4424114142953
571,48171.0,3680.847083735281,86.46720361019061
572,47912.0,1846.5100083905204,144.65600279661354
573,47585.0,619.865814657072,309.8602612059318
574,46654.0,0.0,118.40414088100594
575,46192.0,0.0,104.66972017724919
576,46694.0,128.82424736129332,319.8462272390816
577,46845.0,215.44318830286932,263.45487344098143
578,47813.0,3662.1518042693583,27.737299654408066
579,47705.0,2606.5102387481616,921.6409854848288
580,47139.0,1474.3927725556296,1094.511875485273
581,47211.0,4119.205554057143,615.7155360334227
582,47360.0,1394.8971347692839,1289.6678048534923
583,47327.0,1684.5948960143223,548.2212130595865
584,46480.0,137.03030907040835,3.414110595599195
585,46089.0,0.0,648.039143443898
586,45892.0,0.0,652.8060978625416
587,45853.0,0.0,903.9589526765942
588,45889.0,0.0,580.5781100534175
589,46583.0,2043.1558996598503,739.0319558783812
590,47678.0,1449.0482986096176,924.8345637543592
591,47601.0,4952.320879720823,769.6929382937017
592,47347.0,1412.4915010429763,1749.8418853511457
593,47486.0,3840.7561080535997,310.7974129132793
594,47547.0,2786.9409893010206,60.060244590935724
595,47532.0,3086.061863788322,1053.7168858113728
596,47158.0,4329.040716295049,776.0961553066742
597,47147.0,3674.657546325297,489.08586033531606
598,46904.0,1795.1682843176193,695.5944491854912
599,47055.0,1884.5243179893853,570.0946480496868
600,47565.0,2426.7003242019255,724.2816499627199
601,47643.0,2406.505845667657,217.83974950757568
602,47834.0,4385.747158402215,427.34573952744205
603,47903.0,3716.5779440050264,504.7068745262256
604,48086.0,104.86258782620276,820.3381669108815
605,48043.0,527.950752062263,501.85867543024796
606,47435.0,843.7383755779495,741.3091608297244
607,47093.0,706.0234983431773,734.2395986121995
608,46988.0,789.263606598271,678.0116319603077
609,46709.0,2596.5157946517593,584.2461346100698
610,46876.0,3756.40817625166,316.8814752687282
611,46985.0,480.121593022634,526.7476855928043
612,47509.0,5087.807923729559,377.45510855171005
613,47507.0,3018.4614065255137,1202.967043347279
614,47011.0,1874.166717456075,595.7404999976023
615,47301.0,1729.8970710789329,471.3149504823604
616,47383.0,3957.62442647758,390.4226933838487
